Number,NumberText,Description,Status,Hint,Grade
15,,"Докажите неравенство Беккенбаха: $$\frac{\sum_{i=1}^n (x_i + y_i)^2}{\sum_{i=1}^n (x_i + y_i)} \leqslant \frac{\sum_{i=1}^n x_i^2}{\sum_{i=1}^n x_i} + \frac{\sum_{i=1}^n y_i^2}{\sum_{i=1}^n y_i}$$ для всех положительных $x_i$ и $y_i$.",,,grade-summer-9-10
16,,"Докажите неравенство Минковского: $$\sqrt[n]{(x_1+y_1)(x_2+y_2)\ldots(x_n+y_n)} \geqslant \sqrt[n]{x_1 x_2 \ldots x_n} + \sqrt[n]{y_1 y_2 \ldots y_n}$$ для всех положительных $x_i$ и $y_i$.",,,grade-summer-9-10
17,,"Для комплексной плоскости $\mathbb{C}^2$ прямой будем называть множество пар $(x; y) \in \mathbb{C}^2$, удовлетворяющих уравнению $ax + by + c = 0$ для некоторых $a, b, c \in \mathbb{C}^2$, не все из которых равны нулю. Докажите, что на комплексной плоскости теорема Сильвестра-Галаи (для любого набора точек на плоскости верно одно из двух: либо они все лежат на одной прямой, либо есть прямая, содержащая ровно две из данных точек) неверна.",,,grade-summer-9-10
17.5,,"Теория чисел",,,grade-summer-9-10
18,,"Найдите все такие натуральные $n$, что $2^{n^3} + n + 3$ делится на $2^{n^2} + n$.",,,grade-summer-9-10
19,,"Какую наименьшую степень может иметь многочлен из $\mathbb{Z}[x]$, имеющий корень $\sqrt{2} + \sqrt{3}$?",,,grade-summer-9-10
19.5,,"Математический анализ",,,grade-summer-9-10
20,,"Докажите, что $\ln 2 = 1 - \frac{1}{2} + \frac{1}{3} - \frac{1}{4} + \ldots$",,,grade-summer-9-10
21,,"$a \in \mathbb{R}$, $a > 1$, $P_n(x) \in \mathbb{R}[x]$ — многочлен степени $n$. Докажите, что $\lim\limits_{x \to \infty} \frac{P_n(x)}{a^x} = 0$ или $P_n(x) = o(a^x)$ на бесконечности.",,,grade-summer-9-10
22,,"Существуют ли функции $f$ и $g : \mathbb{R} \to \mathbb{R}$ такие, что $f \circ g$ строго возрастает, а $g \circ f$ строго убывает?",,,grade-summer-9-10
22.5,,"Математический анализ и аналитическая теория чисел",,,grade-summer-9-10
23,,"Докажите, что a) $e = 1 + \frac{1}{1!} + \frac{1}{2!} + \frac{1}{3!} + \ldots$; b) $e \notin \mathbb{Q}$.",,,grade-summer-9-10
24,,"Пусть $I_n = \int\limits_0^{\pi/2} \sin^n x \, dx$. a) Докажите, что $I_n = \frac{n-1}{n} I_{n-2}$. b) Найдите $I_n$; c) Докажите неравенство: $I_{2n-1} \geqslant I_{2n} \geqslant I_{2n+1}$. d) Докажите формулу Валлиса: $\lim\limits_{n \to \infty} \frac{1}{2n+1}\left(\frac{(2n)!!}{(2n-1)!!}\right)^2 = \frac{\pi}{2}$. e) Пусть $b_n = \left(n + \frac{1}{2}\right) \ln \frac{n}{n+1} + 1$. Докажите, что ряд $\sum b_n$ сходится. f) Пусть $a_n = \ln(n!) - \left(n + \frac{1}{2}\right) \ln n + n$. Докажите, что последовательность $\{a_n\}$ сходится. g) Докажите, что существует такая константа $c > 0$, что $\lim \dfrac{n!}{c \sqrt{n} (n/e)^n} = 1$. h) С помощью формулы Валлиса докажите, что $c = \sqrt{2\pi}$. Получится формула Стирлинга.",,,grade-summer-9-10
25,,"a) Обозначим $$I_n = \frac{1}{n!} \int\limits_{-\pi/2}^{\pi/2} \left(\frac{\pi^2}{4} - x^2\right)^n \cos x \, dx.$$ Докажите, что $I_n$ выражается как многочлен с целыми коэффициентами от $\pi^2$ степени не выше $n$. b) Докажите, что число $\pi^2$ (а значит, и $\pi$) — иррационально.",,,grade-summer-9-10
25.5,,"Простота чисел Мерсенна. Тест Лукаса-Лемера. Пусть $M_p = 2^p - 1$ — число Мерсенна. Нас будет интересовать, при каких $p$ число $M_p$ просто. Ясно, что это возможно лишь при простых $p$ (если $p = ab$ ($a, b > 1$), то $M_p = (2^a - 1)(1 + 2^a + 2^{2a} + \ldots + 2^{(b-1)a})$ — составное число). Тем не менее, не при всех простых $p$ число $M_p$ просто (так, $M_{11} = 2047 = 23 \cdot 89$). Мы приведём несколько неожиданный способ узнавать ответ на этот вопрос, носящий название тест Лукаса-Лемера. Определим последовательность натуральных чисел условиями $L_1 = 4$, $L_{n+1} = L_n^2 - 2$ при $n \geqslant 1$. Теорема. Пусть $p > 2$ — простое число. Число $M_p$ просто, если и только если $L_{p-1}$ кратно $M_p$. Последовательность $\{L_k\}$ по модулю $p$ вычисляется сравнительно быстро, что позволяет получать (с помощью вычислительной техники) очень большие простые числа Мерсенна.",,,grade-summer-9-10
26,,"Докажите, что $$L_k = (2 + \sqrt{3})^{2^{k-1}} + (2 - \sqrt{3})^{2^{k-1}}.$$",,,grade-summer-9-10
26.5,,"Эта формула подсказывает, что удобнее работать не с целыми числами, а с числами вида $a + b\sqrt{3}$ (где $a, b$ целые). Пусть $r > 3$ — простое число (одно и то же в 27 – 28). Будем говорить, что число $a + b\sqrt{3}$ ($a, b \in \mathbb{Z}$) делится на $r$, если $a$ делится на $r$ и $b$ делится на $r$. Два числа вида $a + b\sqrt{3}$ назовём сравнимыми по модулю $r$, если их разность делится на $r$.",,,grade-summer-9-10
27,,"Докажите, что для всех целых $a, b$ имеем $(a + b\sqrt{3})^{r^2} \equiv a + b\sqrt{3} \pmod{r}$.",,,grade-summer-9-10
28,,"Докажите, что $(2 + \sqrt{3})^{r^2 - 1} \equiv 1 \pmod{r}$.",,,grade-summer-9-10
28.5,,"Докажем, что если $L_{p-1}$ кратно $M_p$, то $M_p$ просто. Предположим противное (предположение принимаем в 29 – 31): $M_p$ — составное, но $L_{p-1}$ делится на $M_p$.",,,grade-summer-9-10
29,,"Докажите, что $M_p$ имеет простой делитель $r$ такой, что $3 < r < \sqrt{M_p}$.",,,grade-summer-9-10
30,,"Докажите, что $(2 + \sqrt{3})^{2^{p-1}} \equiv -1 \pmod{r}$.",,,grade-summer-9-10
31,,"Докажите, что если $(2 + \sqrt{3})^A \equiv (2 + \sqrt{3})^B \equiv 1$, то и $(2 + \sqrt{3})^C \equiv 1$, где $C = \mathrm{НОД}(a, b)$.",,,grade-summer-9-10
32,,"Докажите, что число $\mathrm{НОД}(r^2 - 1, 2^p)$ делит $2^{p-1}$, откуда $(2 + \sqrt{3})^{2^{p-1}} \equiv 1 \pmod{r}$ — противоречие с 26.",,,grade-summer-9-10
32.5,,"Итак, получено доказательство достаточности простоты числа $M_p$. Пусть теперь $M_p$ просто. Следующие упражнения содержат план доказательства обратного утверждения: если $M_p$ просто, то $L_{p-1}$ кратно $M_p$.",,,grade-summer-9-10
33,,"Вычислите по модулю $M_p$ остатки чисел $3^{2^{p-1}}$, $2^{2^{p-1}}$.",,,grade-summer-9-10
34,,"Упростите выражение $(a + b\sqrt{3})^{M_p}$ по модулю $M_p$.",,,grade-summer-9-10
35,,"Докажите, что $(2 + \sqrt{3})^{2^{p-1}} \equiv -1 \pmod{M_p}$.",,,grade-summer-9-10
36,,"Докажите, что $L_{p-1}$ делится на $M_p$.",,,grade-summer-9-10
37,,"Пусть $n = 2m + 1$ — нечётное натуральное число. a) Докажите, что $\sin nx = P_n(\sin x)$, где $P_n$ — многочлен степени $n$. b) Докажите, что $P_n(x) = nx \prod\limits_{k=1}^m \left(1 - \frac{x^2}{\sin^2(k\pi/n)}\right)$. c) Докажите, что $\sum\limits_{k=1}^m \dfrac{1}{n^2 \sin^2(k\pi/n)} = \dfrac{1}{6} - \dfrac{1}{6n^2}$. d) Докажите, что $\sum\limits_{n=1}^\infty \dfrac{1}{n^2} = \dfrac{\pi^2}{6}$.",,,grade-summer-9-10
38,,"Докажите, что $\lim \dfrac{\sigma(1) + \sigma(2) + \ldots + \sigma(n)}{1 + 2 + \ldots + n} = \dfrac{\pi^2}{6}$ ($\sigma(k)$ обозначает сумму делителей числа $n$).",,,grade-summer-9-10
39,,"Докажите, что $\prod\limits_p \left(1 - \dfrac{1}{p^2}\right) = \dfrac{6}{\pi^2}$ (произведение берётся по всем простым числам).",,,grade-summer-9-10
40,,"Докажите, что $\lim \dfrac{\varphi(1) + \varphi(2) + \ldots + \varphi(n)}{1 + 2 + \ldots + n} = \dfrac{6}{\pi^2}$ (то есть вероятность того, что два натуральных числа, случайно выбранных от 1 до $N$, взаимно просты, стремится к $\dfrac{6}{\pi^2}$).",,,grade-summer-9-10
40.5,,"Геометрия",,,grade-summer-9-10
41,,"Внешние биссектрисы углов при вершинах $B$ и $C$ остроугольного треугольника $ABC$ пересекаются в точке $J$. $AA'$ — диаметр окружности $(ABC)$, а $P$ и $Q$ — точки касания вневписанных окружностей треугольника $ABC$ с отрезками $AB$ и $AC$. Докажите, что $A'J \perp PQ$.",,,grade-summer-9-10
42,,"Сторону $AC$ остроугольного треугольника $ABC$ отразили симметрично относительно двух других сторон, и полученные прямые пересеклись в точке $K$. Докажите, что прямая $BK$ проходит через центр описанной окружности треугольника $ABC$.",,,grade-summer-9-10
43,,"На сторонах $AB$, $AC$ и $BC$ треугольника $ABC$ взяли точки $K, L$ и $M$ соответственно так, что $\angle BAC = \angle KLM = \angle BCA$. Докажите, что если $AL + LM + MB > CL + LK + KB$, то $LM < LK$.",,,grade-summer-9-10
44,,"Окружность с центром $I$ вписана в треугольник $ABC$ и касается его сторон в точках $A_1, B_1, C_1$ соответственно. На отрезке $BC_1$ нашлась точка $K$ такая, что $IK = IC$. Докажите, что середина $KC$ лежит на $A_1 C_1$.",,,grade-summer-9-10
45,,"Дан треугольник $ABC$. Окружность $\omega$ касается описанной окружности треугольника $ABC$ в точке $A$, пересекает сторону $AB$ в точке $K$, а также пересекает сторону $BC$. Касательная $CL$ к окружности $\omega$ такова, что отрезок $KL$ пересекает сторону $BC$ в точке $T$. Докажите, что отрезок $BT$ равен по длине касательной из точки $B$ к $\omega$.",,,grade-summer-9-10
46,,"Выпуклый четырёхугольник разделён диагоналями на 4 треугольника. Докажите, что прямая, соединяющая ортоцентры двух противоположных треугольников, перпендикулярна прямой, соединяющей центроиды других противоположных треугольников.",,,grade-summer-9-10
47,,"Диагонали выпуклого четырёхугольника перпендикулярны. Каждую вершину соединили с центром описанной окружности треугольника, образованного этой и двумя соседними вершинами. Докажите, что четыре такие прямые пересекаются в одной точке.",,,grade-summer-9-10
48,,"$ABCD$ — описанный четырёхугольник. $K$ и $L$ — точки пересечения пар противоположных сторон. Докажите, что ортоцентр треугольника, образованного диагоналями и прямой $KL$, совпадает с центром вписанной окружности.",,,grade-summer-9-10
49,,"Четыре прямые образуют четыре треугольника. В каждом треугольнике провели серединный перпендикуляр к отрезку, соединяющему ортоцентр и центр описанной окружности. Докажите, что полученные четыре прямые пересекаются в одной точке (точка Эрвея).",,,grade-summer-9-10
50,,"Две хорды делят окружность на четыре части. В каждую часть вписали окружность, касающуюся хорд и данной окружности. Докажите, что у четырёхугольника, образованного центрами этих окружностей, перпендикулярны диагонали.",,,grade-summer-9-10
51,,"На сторонах выпуклого четырёхугольника во внешнюю сторону построены квадраты. Докажите, что если диагонали четырёхугольника перпендикулярны, то прямые, соединяющие центры противоположных квадратов, проходят через точку пересечения диагоналей.",,,grade-summer-9-10
52,,"Биссектриса угла $A$ параллелограмма $ABCD$ пересекает прямые $BC$ и $CD$ в точках $K$ и $L$ соответственно. Докажите, что центр окружности, проведённой через точки $C, K$ и $L$, лежит на окружности, проведённой через точки $B, C$ и $D$.",,,grade-summer-9-10
53,,"a) Окружности $S_1$ и $S_2$ пересекаются в точках $A$ и $B$. Центр $O$ окружности $S_1$ лежит на окружности $S_2$. Хорда $AC$ окружности $S_1$ пересекает окружность $S_2$ в точке $D$. Докажите, что $OD$ перпендикулярно $BC$. b) Окружности $S_1$ и $S_2$ пересекаются в точках $A$ и $B$. Центр $O$ окружности $S_1$ лежит на окружности $S_2$. Хорда $AC$ пересекает окружность $S_1$ в точке $D$. Докажите, что $D$ является точкой пересечения биссектрис треугольника $ABC$.",,,grade-summer-9-10
54,,"$ABCD$ — выпуклый четырёхугольник, продолжения пар его противоположных сторон пересекаются в точках $E$ и $F$. $M, N, K$ — точки пересечения биссектрис углов $A$ и $C$, $B$ и $D$, и внешних углов $E$ и $F$. Докажите, что $M, N$ и $K$ лежат на одной прямой.",,,grade-summer-9-10
55,,"Четырёхугольник $ABCD$ вписан в окружность $k$. Отрезки $AC$ и $BD$ пересекаются в точке $E$, а лучи $CB$ и $DA$ пересекаются в точке $F$. Докажите, что прямая, проходящая через центры вписанных окружностей треугольников $ABE$ и $ABF$, и прямая, проходящая через центры вписанных окружностей треугольников $CDE$ и $CDF$, пересекаются на окружности $k$.",,,grade-summer-9-10
56,,"Трапеция $ABCD$ вписана в окружность $\omega$. Точка $M$ — середина её основания $CD$. Луч $BM$ пересекает $\omega$ в точках $B$ и $K$. Точка $P$ на луче $AD$ и точка $Q$ на отрезке $AC$ выбраны так, что $\angle DQA = \angle PCA = 90°$. Известно, что середина дуги $ADC$ лежит на окружности $(AQM)$. Луч $PK$ пересекает отрезок $CD$ в точке $F$ и окружность $\omega$ в точках $K$ и $G$. Докажите, что $AG = DF$.",,,grade-summer-9-10
57,,"Сумма плоских углов при вершине пирамиды больше 180°. Докажите, что каждое боковое ребро меньше полупериметра основания.",,,grade-summer-9-10
58,,"Докажите, что центр вписанной в тетраэдр сферы лежит внутри тетраэдра, образованного точками касания.",,,grade-summer-9-10
59,,"Докажите, что тетраэдр является равногранным, если и только если a) радиусы описанных окружностей граней равны; b) центр масс и центр описанной сферы совпадают.",,,grade-summer-9-10
